@relation '238454L1_2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1,2,3-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota wnioskowana' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {K,M}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pob. doch.' numeric
@attribute 'okres w jakim bedzie pobierac dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
300,'\'(55.2-67.6]\'',K,16,452,0,58,48,zly
400,'\'(42.8-55.2]\'',K,16,1072.89,0,117,48,dobry
600,'\'(55.2-67.6]\'',K,11,1400,0,158,48,dobry
600,'\'(42.8-55.2]\'',K,11,3200,0,49,48,dobry
200,'\'(42.8-55.2]\'',K,16,730,0,137,48,dobry
200,'\'(42.8-55.2]\'',M,12,1030,0,4,48,dobry
300,'\'(55.2-67.6]\'',K,13,1658,0,24,48,dobry
500,'\'(-inf-30.4]\'',M,12,1472,0,7,20,zly
200,'\'(42.8-55.2]\'',M,17,749.74,0,106,48,dobry
500,'\'(55.2-67.6]\'',K,13,1900,0,83,48,dobry
500,'\'(30.4-42.8]\'',M,11,1700,0,247,48,dobry
500,'\'(42.8-55.2]\'',K,11,2065.98,0,174,48,dobry
789.27,'\'(55.2-67.6]\'',K,13,860,0,75,48,dobry
600,'\'(55.2-67.6]\'',M,11,3335,0,428,48,dobry
900,'\'(55.2-67.6]\'',M,98,1900,0,1,48,zly
200,'\'(42.8-55.2]\'',M,12,670,0,4,11,dobry
400,'\'(30.4-42.8]\'',K,11,1400,0,83,48,dobry
285.97,'\'(30.4-42.8]\'',K,98,1200,0,41,48,dobry
700,'\'(67.6-inf)\'',M,13,1063.12,0,72,48,zly
200,'\'(30.4-42.8]\'',K,99,600,0,36,37,zly
1569.98,'\'(42.8-55.2]\'',M,11,2353,0,94,48,dobry
300,'\'(67.6-inf)\'',K,13,1185.33,0,219,48,dobry
295.97,'\'(30.4-42.8]\'',K,11,1770,0,82,48,dobry
200,'\'(42.8-55.2]\'',K,16,749.28,0,60,48,dobry
300,'\'(55.2-67.6]\'',K,16,1340,0,156,48,dobry
400,'\'(30.4-42.8]\'',K,11,1239.05,0,199,48,dobry
200,'\'(67.6-inf)\'',K,13,730,0,556,48,dobry
400,'\'(67.6-inf)\'',K,16,980,0,126,48,dobry
800,'\'(55.2-67.6]\'',K,13,3700,0,22,48,dobry
200,'\'(42.8-55.2]\'',K,12,1228,0,7,8,zly
300,'\'(42.8-55.2]\'',K,11,1400,0,112,48,dobry
500,'\'(30.4-42.8]\'',K,11,1050,0,17,48,zly
700,'\'(55.2-67.6]\'',K,13,1801.41,0,33,48,dobry
300,'\'(42.8-55.2]\'',K,11,2000,0,395,48,zly
1500,'\'(55.2-67.6]\'',M,98,3000,0,64,48,dobry
400,'\'(55.2-67.6]\'',M,11,1250,0,60,48,dobry
400,'\'(55.2-67.6]\'',K,13,1425,0,75,48,dobry
300,'\'(42.8-55.2]\'',M,17,894.07,0,60,48,zly
1000,'\'(30.4-42.8]\'',K,11,2700,0,117,48,dobry
700,'\'(30.4-42.8]\'',K,11,3100,0,117,48,dobry
200,'\'(30.4-42.8]\'',K,12,1032.34,0,0,11,dobry
500,'\'(55.2-67.6]\'',K,11,2249.14,0,237,48,dobry
300,'\'(30.4-42.8]\'',K,11,1200,0,186,48,dobry
300,'\'(55.2-67.6]\'',M,13,2110,0,97,48,dobry
500,'\'(-inf-30.4]\'',K,12,1200,0,3,23,zly
800,'\'(55.2-67.6]\'',K,13,720,0,228,48,dobry
1000,'\'(30.4-42.8]\'',K,98,5000,0,80,48,dobry
800,'\'(-inf-30.4]\'',M,17,1896,0,30,33,dobry
600,'\'(55.2-67.6]\'',K,13,2120,0,114,48,dobry
498.47,'\'(30.4-42.8]\'',K,12,1600,0,10,11,dobry
400,'\'(42.8-55.2]\'',K,11,2000,0,238,48,zly
200,'\'(67.6-inf)\'',K,13,1026,0,243,48,dobry
200,'\'(42.8-55.2]\'',K,17,1079,0,25,26,dobry
400,'\'(67.6-inf)\'',K,13,2100,0,156,48,dobry
600,'\'(42.8-55.2]\'',K,12,1675,0,5,11,dobry
400,'\'(-inf-30.4]\'',K,16,806,0,15,48,dobry
500,'\'(42.8-55.2]\'',K,11,3000,0,89,48,dobry
400,'\'(42.8-55.2]\'',K,11,2800,0,55,48,dobry
200,'\'(42.8-55.2]\'',M,16,1045,0,195,48,dobry
400,'\'(30.4-42.8]\'',K,11,1200,0,9,48,zly
450,'\'(30.4-42.8]\'',K,12,660,0,7,37,dobry
500,'\'(55.2-67.6]\'',M,13,1591,0,72,48,dobry
336.43,'\'(55.2-67.6]\'',K,13,918,0,97,48,dobry
350,'\'(67.6-inf)\'',K,13,1412,0,199,48,dobry
377.92,'\'(-inf-30.4]\'',K,11,1500,0,20,48,dobry
200,'\'(42.8-55.2]\'',K,11,1577.42,0,201,48,dobry
500,'\'(30.4-42.8]\'',M,11,1261.98,0,32,48,dobry
300,'\'(30.4-42.8]\'',K,12,1400,0,2,2,zly
500,'\'(30.4-42.8]\'',M,12,1100,0,123,48,zly
500,'\'(42.8-55.2]\'',K,16,2300,0,58,48,dobry
300,'\'(55.2-67.6]\'',K,13,1100,0,101,48,dobry
200,'\'(67.6-inf)\'',K,13,803.86,0,153,48,dobry
400,'\'(42.8-55.2]\'',M,12,1375.47,0,2,8,dobry
300,'\'(30.4-42.8]\'',M,12,1250,0,0,6,zly
500,'\'(30.4-42.8]\'',K,11,1000,0,57,48,dobry
1000,'\'(30.4-42.8]\'',M,11,2600,0,4,48,zly
600,'\'(42.8-55.2]\'',K,99,1122,0,12,30,zly
1000,'\'(30.4-42.8]\'',M,12,1500,0,29,35,dobry
300,'\'(30.4-42.8]\'',K,12,1027,0,4,48,dobry
200,'\'(55.2-67.6]\'',K,16,612,0,195,48,zly
500,'\'(42.8-55.2]\'',M,12,2000,0,7,24,zly
200,'\'(55.2-67.6]\'',M,13,1538,0,96,48,dobry
826.61,'\'(42.8-55.2]\'',M,99,2063.38,0,193,48,dobry
200,'\'(55.2-67.6]\'',K,16,703,0,21,48,dobry
300,'\'(67.6-inf)\'',K,13,866.46,0,191,48,dobry
300,'\'(67.6-inf)\'',K,13,1239,0,266,48,dobry
200,'\'(42.8-55.2]\'',M,17,541,0,96,48,zly
576.61,'\'(55.2-67.6]\'',K,13,650,0,69,48,zly
400,'\'(55.2-67.6]\'',K,13,1013.74,0,109,48,dobry
300,'\'(55.2-67.6]\'',K,13,1200.29,0,18,48,dobry
500,'\'(55.2-67.6]\'',M,11,1250,0,101,48,dobry
500,'\'(55.2-67.6]\'',K,13,962,0,61,48,dobry
662.83,'\'(55.2-67.6]\'',K,13,1370,0,72,48,dobry
300,'\'(42.8-55.2]\'',M,13,814.83,0,153,48,dobry
300,'\'(42.8-55.2]\'',M,11,1566.82,0,345,48,dobry
952.96,'\'(42.8-55.2]\'',K,12,1500,0,10,26,dobry
1000,'\'(55.2-67.6]\'',K,13,5100,0,24,48,dobry
200,'\'(67.6-inf)\'',K,13,616,0,242,48,dobry
1000,'\'(42.8-55.2]\'',M,11,2000,0,47,48,dobry
200,'\'(55.2-67.6]\'',M,16,633.56,0,107,48,dobry
600,'\'(30.4-42.8]\'',M,11,1300,0,41,48,dobry
200,'\'(42.8-55.2]\'',M,98,444,0,1,48,zly
400,'\'(42.8-55.2]\'',M,11,1600,0,264,48,dobry
800,'\'(-inf-30.4]\'',M,11,2327.94,0,30,48,dobry
800,'\'(42.8-55.2]\'',M,11,2500,0,199,48,dobry
600,'\'(30.4-42.8]\'',M,11,1500,0,98,48,dobry
400,'\'(-inf-30.4]\'',M,11,1037.34,0,29,48,dobry
400,'\'(42.8-55.2]\'',K,11,1300,0,30,48,dobry
200,'\'(55.2-67.6]\'',M,16,505.84,0,133,48,zly
400,'\'(67.6-inf)\'',K,13,951,0,158,48,dobry
500,'\'(42.8-55.2]\'',K,12,2000,0,5,25,dobry
500,'\'(55.2-67.6]\'',M,13,1048.07,0,24,48,dobry
281.29,'\'(42.8-55.2]\'',K,12,1350,0,18,24,dobry
600,'\'(30.4-42.8]\'',K,11,1065,0,55,48,dobry
300,'\'(-inf-30.4]\'',M,99,1500,0,7,7,dobry
200,'\'(-inf-30.4]\'',M,17,728,0,96,48,dobry
1239.88,'\'(42.8-55.2]\'',K,11,1638,0,310,48,dobry
1000,'\'(30.4-42.8]\'',K,11,3164.48,0,166,48,zly
600,'\'(42.8-55.2]\'',K,13,1425,0,15,48,dobry
200,'\'(67.6-inf)\'',K,13,965,0,241,48,dobry
300,'\'(55.2-67.6]\'',M,11,1650.26,0,29,48,zly
400,'\'(42.8-55.2]\'',M,11,1030,0,19,48,zly
500,'\'(55.2-67.6]\'',K,13,1650,0,111,48,dobry
500,'\'(55.2-67.6]\'',M,13,1768.93,0,265,48,dobry
1000,'\'(42.8-55.2]\'',M,11,1800,0,122,48,dobry
800,'\'(-inf-30.4]\'',K,11,1300,0,5,48,dobry
200,'\'(42.8-55.2]\'',M,16,550.8,0,61,48,zly
300,'\'(67.6-inf)\'',M,13,910.33,0,159,48,dobry
600,'\'(30.4-42.8]\'',K,11,980.11,0,40,48,dobry
200,'\'(55.2-67.6]\'',M,13,1162,0,217,48,dobry
300,'\'(67.6-inf)\'',M,13,940,0,49,48,dobry
400,'\'(-inf-30.4]\'',K,16,1199.93,0,138,48,zly
500,'\'(55.2-67.6]\'',M,11,2031,0,110,48,dobry
500,'\'(55.2-67.6]\'',K,13,1000,0,63,48,dobry
500,'\'(42.8-55.2]\'',K,11,1050,0,14,48,dobry
400,'\'(67.6-inf)\'',M,13,1426,0,73,48,dobry
500,'\'(55.2-67.6]\'',K,13,1149.06,0,157,48,dobry
200,'\'(42.8-55.2]\'',M,16,387.71,0,96,48,zly
200,'\'(30.4-42.8]\'',M,12,554,0,3,9,zly
400,'\'(-inf-30.4]\'',M,12,1660,0,9,26,dobry
